 1 1
2 5
3 6
4 6
5 7
6 7
7 7
8 8
9 7
10 10
11 11
12 22
13 32
14 59
15 112
16 313
17 555
18 1523
19 3372
20 6273
21 10065
22 15734
23 21273
24 27612
25 33505
26 38644
27 42741
28 46581
29 49499
30 52052
31 53907
32 55575
33 57004
34 58087
35 59104
36 59908
37 60490
38 61284
39 61620
40 62098
41 62361
42 62741
43 63073
44 63282
45 63403
46 63630
47 63822
48 63961
49 63948
50 64140
51 64152
52 64303
53 64423
54 64239
55 64334
56 64384
57 64631
58 64612
59 64704
60 64482
61 64590
62 64440
63 64692
64 64678
65 64699
66 64727
67 64598
68 64714
69 64583
70 64759
71 64722
72 64776
73 64745
74 64838
75 64773
76 64772
77 64740
78 64792
79 64693
80 64815
81 64743
82 64754
83 64855
84 64712
