 1 1
2 1
3 1
4 2
5 2
6 2
7 1
8 2
9 2
10 19
11 21
12 30
13 80
14 169
15 271
16 716
17 1358
18 2769
19 5100
20 8644
21 12955
22 18248
23 23668
24 29334
25 35364
26 40834
27 46413
28 51272
29 56210
30 60523
31 64136
32 68038
33 71260
34 73776
35 76543
36 78794
37 81004
38 83067
39 84785
40 86461
41 88052
42 89091
43 90195
44 91145
45 92336
46 93196
47 94023
48 94708
49 95338
50 95972
51 96300
52 96800
53 97360
54 97653
55 97974
56 98281
57 98661
58 98867
59 99099
60 99414
61 99672
62 99690
63 99803
64 99991
65 100177
66 100267
67 100390
68 100432
69 100500
70 100546
71 100711
72 100829
73 100743
74 100803
75 100969
76 100874
77 101068
78 101083
79 101003
80 101127
81 100992
82 101097
83 101064
84 101041
