1 0
2 1
3 1
4 1
5 118
6 888
7 1946
8 3943
9 6878
10 12359
11 17794
12 23699
13 29724
14 35303
15 39989
16 44174
17 47655
18 50652
19 53114
20 54921
21 56211
22 57602
23 58667
24 59421
25 60255
26 60934
27 61471
28 61914
29 62301
30 62730
31 62998
32 63412
33 63504
34 63692
35 63918
36 63864
37 64023
38 64189
39 64193
40 64227
41 64492
42 64319
43 64464
44 64513
45 64597
46 64553
47 64632
48 64679
49 64489
50 64637
51 64776
52 64804
53 64811
54 64732
55 64691
56 64816
57 64868
58 64695
59 64841
60 64747
61 64681
62 64754
63 64742
64 64814
65 64822
66 64830
67 64824
68 64829
69 64805
70 64871
71 64725
72 64861
73 64924
74 64728
75 64802
76 64743
77 64744
78 64715
79 64881
80 64737
81 64944
82 64868
83 64725
84 64885
