 1 1
2 5
3 5
4 5
5 34
6 75
7 102
8 254
9 638
10 1508
11 4292
12 11066
13 23355
14 42381
15 66299
16 92492
17 117759
18 140705
19 160643
20 178468
21 194423
22 208033
23 219609
24 229610
25 237577
26 244662
27 250942
28 256154
29 260893
30 264475
31 268041
32 271202
33 274114
34 276463
35 278817
36 280300
37 281774
38 283206
39 284356
40 285449
41 286683
42 287413
43 288195
44 288772
45 289362
46 289958
47 290122
48 290584
49 291143
50 291247
51 291656
52 292361
53 292219
54 292587
55 292665
56 292938
57 292699
58 293014
59 293058
60 293563
61 293387
62 293459
63 293798
64 293723
65 293774
66 294000
67 293970
68 294031
69 294069
70 293987
71 294174
72 294178
73 294053
74 294280
75 294331
76 294252
77 294370
78 294206
79 294123
80 294175
81 294348
82 294204
83 294344
84 294389
