1 1
2 1
3 1
4 12
5 23
6 24
7 48
8 95
9 164
10 267
11 420
12 623
13 987
14 1862
15 3465
16 5658
17 9060
18 13183
19 18447
20 23550
21 29217
22 34760
23 40246
24 45309
25 50231
26 54517
27 58906
28 62990
29 66249
30 69644
31 72454
32 75160
33 77649
34 79740
35 81717
36 83241
37 85080
38 86420
39 87793
40 88987
41 89912
42 90959
43 91684
44 92298
45 93135
46 93678
47 94286
48 94814
49 95175
50 95643
51 96059
52 96470
53 96972
54 97207
55 97385
56 97605
57 97833
58 98207
59 98208
60 98379
61 98608
62 98645
63 98837
64 98920
65 99083
66 99157
67 99306
68 99153
69 99382
70 99435
71 99431
72 99411
73 99482
74 99489
75 99697
76 99565
77 99704
78 99567
79 99730
80 99812
81 99675
82 99663
83 99634
84 99801
